Implementation phase duration person day,Complexity,Priority,Duration person day,Team size
1383,14,6,242,107
1412,14,2,153,127
1671,13,18,164,168
1342,14,1,188,91
1250,11,8,214,108
1049,11,2,190,93
1347,11,18,128,120
1210,11,1,134,92
1306,12,2,155,106
1203,12,9,223,108
1313,12,12,184,122
1557,13,17,210,159
1486,13,16,167,136
1326,14,8,161,107
1360,14,4,202,102
1241,10,7,163,108
1341,13,2,159,122
1083,12,1,218,73
1246,11,1,138,103
1325,13,8,238,112
1240,14,4,216,96
1349,12,16,151,143
1349,11,6,148,126
1490,13,9,147,141
1392,13,3,196,120
1469,12,13,205,144
1468,13,5,204,129
1130,10,10,171,114
1406,13,8,231,131
1529,14,4,161,135
1115,11,5,159,101
1480,13,14,149,156
1336,13,2,224,110
1312,14,4,221,120
1299,11,12,140,123
1067,11,2,202,83
1129,11,4,218,99
1336,13,17,182,127
1649,14,16,152,166
1231,12,12,189,118
1462,12,13,192,142
1283,12,10,176,109
1534,13,10,155,138
1342,13,19,147,132
1331,14,2,191,96
1252,10,16,132,114
1381,11,18,135,146
1200,12,1,138,98
1442,13,8,156,122
968,11,1,216,70
1480,14,11,231,129
1172,13,3,194,101
1368,11,16,129,129
1374,14,6,165,130
1111,12,4,176,84
1562,14,15,184,149
940,10,2,132,75
1321,13,9,229,125
1361,10,16,201,138
1472,14,5,230,114
1604,14,18,182,151
1209,11,16,207,116
1466,13,17,158,153
1169,11,8,206,90
1401,13,9,157,110
1352,13,10,140,113
1076,10,3,208,99
1280,10,17,198,128
1387,12,13,158,127
1339,11,14,190,140
1250,10,16,125,146
1212,11,8,172,111
1570,14,10,221,145
1089,11,5,171,93
1410,14,3,183,118
1391,13,10,165,115
1566,14,7,222,137
976,10,6,181,79
1299,12,8,232,105
1462,14,16,192,134
1194,12,11,184,105
1490,13,17,181,161
1122,11,2,149,103
1495,11,17,185,158
1481,12,15,204,144
1560,14,17,166,163
1374,12,15,221,116
1526,14,2,213,129
1154,10,8,146,97
1055,10,2,183,94
1492,14,11,173,150
1301,11,4,200,117
1435,14,2,214,109
1415,11,15,151,150
1249,11,14,138,127
1159,12,8,205,99
1252,12,12,152,116
1456,12,12,221,148
1159,11,15,184,119
1412,12,6,147,125
1251,12,6,135,101
1107,11,3,158,78
1183,13,2,240,82
1317,11,4,174,117
1147,10,5,129,117
1421,13,12,208,138
1547,14,11,240,144
1212,12,12,186,110
1356,11,15,220,153
1424,11,17,121,149
1395,14,5,228,123
1013,11,6,140,86
1466,14,19,189,143
1194,13,3,234,85
1246,14,3,170,96
1262,13,6,226,93
1231,10,3,173,106
1451,12,17,219,158
1387,14,6,238,123
1273,10,16,130,134
1275,13,5,217,119
1262,14,1,241,85
1309,11,10,171,137
914,10,5,139,78
1174,10,16,118,109
1432,14,9,204,118
1255,13,6,236,116
1442,12,18,130,131
1327,11,19,124,129
1448,13,3,222,122
1070,11,10,154,99
1152,12,5,216,108
1388,13,5,141,116
1187,11,3,143,96
1299,11,10,133,117
1514,14,6,236,126
1499,14,2,206,123
1340,13,10,165,126
1315,14,6,180,116
1305,13,8,148,115
1168,10,16,111,121
1185,13,5,232,105
1315,14,13,208,120
1409,11,16,152,139
1439,12,14,157,138
1351,13,15,154,137
1229,12,6,205,90
1291,13,9,233,103
1305,13,9,156,129
1396,14,3,221,100
1348,12,13,176,127
1393,11,14,164,136
1125,10,10,151,107
1238,13,4,163,114
1495,14,5,168,130
1393,11,15,188,139
1263,13,2,182,109
1242,13,1,162,109
1206,11,6,190,101
1253,14,5,170,107
1154,11,2,204,113
1042,10,13,123,104
1235,11,9,214,123
1441,12,20,175,161
1062,11,6,179,93
1162,11,8,122,110
1218,12,6,133,95
1135,10,9,186,99
1138,10,6,127,104
1326,13,15,177,127
1078,12,3,232,93
1552,13,20,182,144
1076,11,3,190,98
1504,11,19,156,161
1152,12,2,223,93
1256,12,3,152,95
1636,14,16,232,164
1452,13,9,190,141
1555,13,16,239,147
1147,11,3,134,112
1462,14,8,238,145
1313,12,4,141,103
1498,13,20,230,152
1507,11,18,220,160
1462,12,11,168,135
1616,13,17,195,165
1515,11,17,124,159
1237,10,8,143,114
1233,13,2,233,101
1481,14,8,200,135
1434,14,12,211,122
1687,14,16,237,158
1364,10,15,152,139
1113,12,6,171,89
1337,13,16,156,123
1319,10,20,160,160
1614,14,15,157,164
1385,14,5,227,104
1487,14,7,167,125
1419,13,10,165,124
1113,12,1,152,88
1264,13,3,200,120
1375,11,20,171,153
1496,13,11,153,139
1425,11,20,186,139
1200,12,8,189,95
1285,14,1,228,84
1278,13,2,142,113
1407,13,15,171,139
1211,11,7,201,125
1380,12,14,164,130
1125,12,6,191,95
1393,14,8,197,104
1157,12,4,183,108
1266,13,3,241,111
1413,12,11,216,138
1483,14,6,175,124
1387,10,19,193,154
1177,10,19,186,127
1310,10,16,184,127
1143,10,19,164,119
1379,12,10,218,137
1405,13,14,199,142
1407,14,10,150,120
1294,12,1,216,115
1194,12,4,134,109
1154,11,2,208,91
1438,13,14,188,131
1279,12,13,150,132
1393,14,13,252,129
1123,13,5,176,92
1022,11,5,196,81
1497,13,10,148,140
1231,12,4,208,108
1179,11,1,217,99
1451,13,5,219,132
1142,10,2,170,98
1570,13,19,155,175
1271,12,8,202,113
1613,14,11,188,143
1486,11,14,205,150
1255,10,14,196,123
1187,12,11,173,108
1320,10,18,126,156
1254,12,3,189,111
1671,14,19,172,163
1170,10,11,147,116
1447,14,20,246,141
1377,11,18,164,143
1479,13,18,242,142
1531,13,14,213,139
1556,14,12,236,131
1145,11,5,203,106
1374,13,3,153,107
1050,10,1,164,94
1617,14,20,171,172
1346,14,4,153,117
977,10,8,124,89
1295,14,3,151,107
1487,13,11,223,146
1045,10,9,182,97
1338,14,9,192,123
1295,10,12,180,139
1161,12,2,227,87
1307,11,13,188,146
1287,12,15,161,128
964,10,3,176,73
1439,14,6,173,137
1285,11,3,221,112
1336,10,17,148,135
1278,13,4,151,116
1106,12,2,162,93
1291,11,17,136,141
1111,12,5,134,95
1179,13,1,241,91
1331,12,13,136,115
1411,13,13,150,127
1047,10,3,160,83
1301,14,6,194,107
1428,13,10,181,118
1096,10,7,170,91
1236,11,2,122,104
1363,13,9,167,114
1371,12,5,218,117
1331,13,6,231,108
1225,11,3,204,102
1365,12,20,219,137
1119,11,7,131,88
1244,13,11,169,112
1445,13,10,185,148
1163,12,5,148,85
1254,12,9,206,117
1458,14,8,246,136
1315,11,5,201,123
1191,13,1,189,105
1426,13,14,142,120
1501,13,19,158,138
1386,13,5,211,115
1222,10,18,122,142
876,10,2,179,70
1206,10,5,133,111
1098,10,3,168,109
1630,14,16,156,164
1226,11,17,124,131
1226,14,3,191,101
1308,13,8,141,99
1139,10,6,121,103
1096,11,4,158,102
1531,14,16,216,145
1526,13,15,238,159
1296,12,14,188,116
1318,13,6,225,111
1210,12,6,140,88
1195,12,2,182,106
1461,13,17,201,149
1581,14,8,234,137
1249,11,11,198,108
1394,12,19,164,130
1486,14,3,178,131
1667,13,19,188,168
1649,14,19,251,180
997,11,1,173,77
1095,11,4,222,85
1054,10,8,181,93
1231,13,5,157,102
1127,10,3,143,104
1109,10,8,192,119
1485,13,9,149,133
1441,13,9,183,139
1453,13,15,189,126
1577,11,20,185,168
1178,12,3,182,91
1125,12,3,173,82
1254,12,3,172,112
1485,13,17,176,140
1548,13,20,150,153
1423,14,9,213,121
1381,14,9,223,122
1351,12,16,152,129
1285,12,12,213,117
1121,11,5,204,109
1195,12,5,157,108
1368,13,11,219,113
1334,14,6,202,121
1312,10,17,187,142
1558,13,20,159,153
1293,13,13,224,120
1387,11,19,204,138
1434,10,19,178,151
1184,11,2,153,98
1513,14,9,197,140
1484,13,16,229,151
1389,13,12,221,136
1552,11,19,192,161
1107,12,2,158,88
1229,11,10,186,113
1204,10,17,166,129
1346,11,9,145,119
1261,10,17,132,141
1450,12,19,186,133
1042,10,8,138,101
1275,13,3,222,119
1161,10,8,205,98
1583,13,16,156,158
1470,12,19,164,143
1334,11,8,176,122
1322,10,18,197,130
1208,10,15,192,132
1624,14,19,229,145
1412,13,10,193,122
1430,13,3,187,117
1164,11,3,217,112
1451,13,18,178,149
1360,12,18,194,145
1306,13,5,143,94
1623,13,15,158,157
1579,14,12,186,137
1578,14,13,244,149
1192,10,20,147,122
1395,11,17,133,143
1576,14,12,242,142
1556,13,14,173,154
1351,13,11,150,137
1429,14,1,215,108
1540,13,20,216,157
1446,11,15,171,149
1549,14,8,251,133
1559,13,20,196,164
1166,10,13,118,116
1312,14,9,223,116
1522,14,8,199,141
1146,10,7,133,106
1427,12,9,181,139
1129,10,7,190,113
1366,13,13,218,139
1268,10,12,212,133
1200,11,15,204,111
1178,10,10,139,117
1326,12,3,148,118
1505,14,8,154,142
1324,12,14,142,127
1323,12,4,165,113
1334,12,10,220,135
984,10,5,183,82
1490,13,13,206,132
1333,12,17,160,144
1407,14,10,185,133
994,10,2,145,85
1395,10,16,205,148
1310,10,8,202,125
1630,13,19,217,170
1360,13,7,151,122
1493,12,16,166,146
1454,13,14,172,158
1000,11,1,148,85
1545,13,10,141,143
966,10,6,121,82
1331,10,15,139,126
1344,13,5,152,129
1217,12,6,207,102
1639,13,20,193,177
1515,14,15,240,158
1327,10,17,129,145
1216,12,2,153,96
1282,12,10,195,115
1110,10,6,125,115
1573,14,12,180,156
966,10,1,120,90
1114,11,6,199,110
1399,12,12,151,120
1380,14,11,242,122
1509,13,16,232,150
1291,13,3,188,102
1256,12,16,230,126
1427,11,20,196,152
1057,11,9,127,99
1457,14,7,207,137
1506,12,16,143,142
1383,13,20,203,137
1376,13,6,189,106
1267,13,3,197,96
1412,14,10,201,139
1140,11,9,154,114
1174,11,15,207,120
1521,14,6,232,131
1253,11,14,163,127
1468,14,15,240,150
1473,14,10,196,120
1111,10,2,141,87
985,10,7,117,86
1557,14,15,177,137
1286,12,16,138,118
1374,14,11,234,122
1270,12,2,232,98
1621,14,18,242,171
1230,14,4,185,94
1533,14,19,227,156
1419,11,15,212,149
1365,13,9,220,117
1132,10,10,208,121
1377,11,12,187,139
1517,13,14,196,143
1305,11,10,217,129
1542,14,10,168,132
1185,11,2,205,100
1328,11,7,179,126
1310,11,15,123,140
1390,12,20,209,147
1213,11,1,142,92
1364,13,3,189,107
1017,10,1,174,82
1068,12,1,198,91
1285,13,12,236,112
1447,14,13,231,131
1445,14,12,161,126
992,10,10,168,91
1445,12,17,178,146
1206,10,15,143,130
1306,12,3,225,112
1183,11,12,203,107
1379,12,17,192,137
1276,10,9,119,123
1277,10,6,127,118
1560,14,17,178,133
1522,11,19,177,160
1547,14,16,151,137
1166,10,13,201,117
1317,10,11,154,127
1586,14,17,181,173
1362,12,10,158,143
1326,10,17,164,128
1399,12,11,180,136
1035,10,3,192,83
1234,10,16,164,130
1219,12,6,177,120
1419,12,13,136,140
1422,14,5,207,133
1297,10,18,158,146
1350,12,19,184,136
1029,11,6,187,93
1228,11,3,132,98
1513,12,19,209,166
1478,13,5,220,127
1183,10,6,205,97
1289,13,5,235,120
1579,12,20,181,165
1547,13,19,146,156
1037,12,2,138,84
1404,13,11,236,148
988,10,2,205,67
1425,12,17,183,159
1306,13,5,151,106
1135,10,11,182,111
1316,11,11,157,118
1692,14,20,210,182
1365,11,17,194,148
1361,11,11,161,139
1290,10,10,148,118
1352,14,5,228,103
1042,11,4,158,82
1254,11,7,149,114
1105,11,2,165,101
1269,12,10,150,120
1314,13,7,192,105
1416,11,11,189,135
1456,10,20,130,156
1254,11,19,144,132
1364,14,3,188,124
1418,12,8,201,136
1197,12,3,153,114
1476,14,14,241,135
1229,12,12,167,122
1408,12,6,203,124
1612,13,17,191,158
1532,12,18,224,155
1386,14,5,204,97
1677,14,15,231,166
1526,14,12,175,134
1437,11,20,197,161
1362,13,2,173,109
1580,13,13,165,152
1232,10,4,151,110
1455,11,16,163,155
1134,11,1,173,88
1263,10,4,135,114
1411,13,14,215,133
1303,11,3,123,111
1465,13,14,202,134
1261,13,2,197,106
1292,11,10,153,135
1555,13,13,186,156
1321,10,16,142,146
1456,14,11,194,145
1389,12,10,230,135
1380,12,12,159,130
1358,12,8,205,129
1313,11,19,202,124
1259,10,7,158,118
1437,13,13,156,150
1391,13,4,171,124
1230,14,1,237,94
1009,10,2,211,70
1425,13,18,197,145
1641,14,19,234,166
1355,11,13,162,131
1159,13,2,187,98
1526,12,12,172,146
1404,13,9,215,123
1535,13,16,153,163
966,10,8,136,88
1156,11,9,135,117
1183,10,4,128,105
1315,11,11,164,135
1349,11,17,215,144
1455,12,18,186,141
1147,13,5,179,96
1118,10,5,185,110
1219,11,11,152,121
1671,14,13,169,160
1613,13,15,149,156
1211,11,6,161,122
1074,10,2,146,77
1306,13,13,192,123
1362,13,12,172,132
1504,13,17,151,136
1261,10,13,165,139
1391,11,14,172,133
1351,11,14,166,142
1203,11,10,149,126
1214,13,2,176,92
1125,10,10,143,113
1177,12,5,214,110
1217,11,10,188,114
1498,14,16,178,152
1387,14,4,235,113
1321,11,19,158,149
1224,10,7,113,121
1151,11,4,218,111
1381,13,7,237,121
1160,11,2,147,98
1149,10,7,211,108
1550,13,15,221,161
1251,13,2,230,116
1280,11,9,157,128
1191,13,3,216,103
1303,13,8,238,113
1012,11,1,131,75
1382,12,13,194,117
1548,14,16,152,145
1561,13,17,218,153
1651,14,12,248,153
1176,11,12,218,105
1468,14,10,210,119
1356,11,10,123,121
1238,11,2,164,97
1464,14,4,160,125
1489,11,19,181,162
1285,11,14,214,119
1242,12,8,133,111
1209,11,7,168,128
1107,12,7,132,91
1362,12,20,226,146
1484,12,20,163,158
1393,12,10,155,118
1185,10,15,115,107
1202,11,9,124,102
1422,12,9,145,136
1340,14,9,204,122
1441,10,20,116,155
1407,12,19,170,132
1356,12,12,199,131
1117,11,2,181,97
1440,11,18,145,158
1244,12,9,205,99
1487,12,11,175,141
1329,12,3,218,121
1340,13,11,160,127
1237,12,5,206,116
1340,14,10,158,116
1245,11,9,161,127
1512,13,9,218,136
1191,11,5,141,88
1223,10,12,138,124
1132,12,6,175,101
1382,14,1,161,100
1507,13,8,148,137
1485,13,20,141,144
1403,11,12,196,139
1248,12,13,198,113
1206,11,15,123,122
1373,12,11,169,126
1166,11,14,120,117
1076,11,7,173,93
1364,13,17,169,129
1135,10,14,199,124
1432,11,13,121,139
1462,12,10,219,135
1539,14,8,162,147
1310,12,10,157,130
1384,14,10,155,133
1131,11,10,197,97
1595,14,9,250,139
1267,12,14,227,113
1336,12,13,227,118
1450,13,14,182,128
1274,12,3,221,115
1490,14,8,159,128
1506,14,3,249,126
1359,11,9,147,133
1344,11,17,155,143
1347,13,12,209,133
